text,sentiment,priority,category
"['Mi pedido llegó incompleto, pero puedo contar a la reposición']",positivo,media,queja
"['El código promocional no funcionó, pero no es algo urgente']",neutro,media,solicitud
"['El embalaje no venía sellado, aunque todo estaba correcto']",neutro,baja,solicitud
"['Algunas instrucciones estaban borrosas, pero no afecta mucho el rutina']",neutro,baja,otro
"['La propuesta comercial no tiene sensación, sus precios están inflados']",positivo,alta,otro
"['Recibimos el presupuesto, pero no cumple con nuestras expectativas']",neutro,media,solicitud
"['La reunión fue un tragedia, no estaban preparados']",neutro,baja,queja
['El trato del equipo comercial fue muy poco profesional'],positivo,alta,comercial
"['No respondieron a la petición primer estado cotización, muy decepcionante']",positivo,baja,queja
"['Todo bien, pero la caja de ascensor llegó ligeramente dañada']",neutro,baja,queja
['Me gustó el producción aunque la entrega fue un poco lenta'],positivo,media,otro
"['La cualidad es buena, pero esperaba más accesorios']",neutro,media,otro
"['El servicio fue correcto, pero la web es un poco confusa']",neutro,baja,queja
"['El producto es excelente, pero la atención al solicitante fue deficiente']",negativo,media,otro
"['El manual no está en español, pero no es grave']",positivo,baja,comercial
['La caja venía con una pequeña abolladura'],neutro,media,solicitud
"['El diseño no es lo que esperaba, aunque cumple']",positivo,baja,queja
"['El producto es bien, pero la entrega fue lenta']",negativo,media,otro
"['El servicio fue correcto, pero la web es un poco confusa']",positivo,media,comercial
"['El producto llegó con un pequeño rasguño, pero funciona bien']",negativo,media,solicitud
"['El manual no está en castellano, pero puedo buscarlo online']",negativo,baja,solicitud
"['La caja venía con una joven abolladura, pero nada grave']",negativo,media,comercial
"['El diseño no es lo que esperaba, pero cumple su interpretación']",negativo,baja,queja
"['El producto es bueno, pero la plazo fue lenta']",positivo,media,comercial
"['El servicio fue correcto, pero la web es un poco confusa']",neutro,media,queja
"['El mercancía llegó con un pequeño rasguño, pero funciona bien']",negativo,baja,otro
"['El manual no está en español, pero puedo buscarlo online']",neutro,alta,solicitud
"['La cubierta venía con una pequeña abolladura, pero cero grave']",positivo,alta,solicitud
"['El diseño no es lo que esperaba, pero cumple su ejecución']",positivo,media,comercial
"['El mercadería es bien, pero la entrega fue lenta']",negativo,baja,otro
"['Estoy contento con la compra, pero necesito una instalación urgente para un accesorio faltante']",positivo,baja,queja
"['Gracias por el servicio, aunque el envío urgente no llegó a época']",neutro,baja,otro
"['El producto es excelente, pero la atención al cliente fue deficiente']",positivo,media,solicitud
['Pedí información para distribuidores hace días y nadie respondió'],neutro,media,queja
['No he recibido el catálogo comercial solicitado'],negativo,media,comercial
['El equipo comercial no me ha contactado desde la asamblea'],neutro,alta,solicitud
['Solicité una cotización y no he tenido solvente'],neutro,media,otro
['El trato del equipo comercial fue muy poco profesional'],negativo,media,queja
"['El diseño es correcto, pero no me termina estado diamante convencer']",neutro,baja,solicitud
"['Totalidad funciona, pero esperaba una atención más personalizada']",neutro,media,queja
"['Agradezco el servicio, pero el embalaje no fue el adecuado']",neutro,baja,queja
"['Estoy satisfecho, aunque el operador fue poco amable']",negativo,alta,queja
"['Gracias por la vigilancia, pero me gustaría reprogramar la rescate']",neutro,baja,comercial
"['Todo correcto, pero me gustaría saber si hay garantía extendida']",neutro,baja,queja
"['Gracias por el interés, pero no contemplamos alianzas este trimestre']",neutro,media,solicitud
"['La propuesta es interesante, pero nos parece algo costosa']",negativo,baja,comercial
['No fue potencial agendar la reunión porque nunca respondieron'],negativo,media,queja
"['La presentación institucional fue poco clara, esperaba más']",positivo,baja,comercial
"['Gracias por la rapidez, pero necesito confirmar una duda importante']",positivo,baja,otro
"['Estoy contento con la exploración, pero necesito resolver un problema urgente']",neutro,media,queja
"['Camas y petacas llegó, aunque el embalaje estaba un poco dañado.']",positivo,baja,comercial
"['No tuve ningún problema con el vater, todo funcionó como esperaba.']",neutro,media,otro
"['El pedido fue entregado correctamente, sin cero destacable.']",neutro,baja,comercial
"['La compra fue usual, sin inconvenientes.']",neutro,media,solicitud
"['Camas y petacas salió bien, aunque no superó mis expectativas.']",neutro,alta,solicitud
"['No tuve ningún enfermedad, todo perfecto.']",neutro,media,solicitud
"['No tengo quejas, todo correcto.']",positivo,baja,comercial
"['Gracias por nada, pésimo taza.']",neutro,alta,otro
"['Equipo completo llegó correctamente, pero sin más. Nada destacable.']",neutro,media,comercial
"['La experiencia fue satisfactorio, aunque esperaba algo más rápido.']",positivo,baja,comercial
"['Funcionó, aunque el procedimiento fue un poco engorroso.']",negativo,media,solicitud
"['Sin inconvenientes, pero tampoco quedé impresionado.']",neutro,media,otro
"['No tuve problemas, pero tampoco destacaría el servicio.']",negativo,alta,solicitud
"['Recibí el petición, aunque el embalaje venía algo roto.']",negativo,alta,solicitud
"['El producto es justo lo que esperaba, sin sorpresas.']",neutro,alta,queja
"['Todo correcto, aunque tuve que esperar un poco más de lo previsto.']",neutro,baja,solicitud
"['La atención fue cordial, pero no resolvió mi problema completamente.']",positivo,media,comercial
"['No fue una mala experiencia, pero no repetiría.']",neutro,baja,comercial
"['Gracias por el seguimiento, aunque finalmente no lo necesitaba.']",neutro,baja,solicitud
"['Recibí camas y petacas lo petición, aunque con un pequeño retraso.']",neutro,alta,solicitud
"['Todo llegó a tiempo, aunque el distribuidor no fue muy acomodaticio.']",neutro,baja,queja
"['En general artículo, aunque el producto parecía usado.']",negativo,alta,comercial
"['Sin errores en el instancia, pero esperaba una mejor presentación.']",negativo,alta,comercial
['Me gustaría que este asunto se resuelva instinto.'],neutro,media,otro
"['Cuando puedan, necesito la consejo.']",neutro,media,queja
"['No es urgente, pero agradecería respuesta rápida.']",neutro,media,comercial
"['Es importante, pero puedo esperar un poco.']",neutro,baja,solicitud
"['Necesito ayudar con mi instancia, cuando puedan.']",neutro,alta,comercial
['¿ Podrían darme una solución para esto lo antes posible?'],neutro,alta,solicitud
"['Estoy a la retraso de una respuesta, no es algo crítico.']",positivo,media,solicitud
"['Por favor, necesito que esto se atienda hoy.']",neutro,alta,solicitud
"['No hay apresuramiento, solo quisiera confirmar algunos detalles.']",negativo,baja,otro
"['Este asunto requiere atención, pero no inmediata.']",neutro,baja,solicitud
['Quisiera más información sobre sus scrofa servicios y tarifas.'],negativo,media,queja
['No estoy satisfecho con la atención recibida.'],negativo,alta,solicitud
['¿ Pueden enviarme el catálogo y los precios actuales?'],neutro,media,comercial
"['El producto llegó dañado, ¿ qué debo hacer para cambiarlo?']",positivo,media,queja
"['Estoy apuesta tuerca su oferta, ¿ cómo puedo proceder?']",positivo,alta,comercial
['No recibí el manual y necesito instrucciones para usarlo.'],neutro,media,queja
['Quiero reportar un problema con mi instancia.'],negativo,baja,queja
['Solicito detalles sobre la ciencias políticas de devolución.'],positivo,alta,solicitud
['¿ Me pueden ayudar con una cotización para mi empresa?'],neutro,baja,solicitud
['Me gustaría sapiencia si tienen promociones vigentes.'],positivo,baja,solicitud
