subject,text,sentiment,priority,category
"Consulta general sobre servicio técnico","He tenido pequeñas dificultades técnicas últimamente. No son críticas, pero agradecería saber si son comunes o si debería preocuparme.","neutro","baja","solicitud"
"Satisfacción relativa con atención recibida","Hola equipo, me atendieron rápidamente, aunque sentí que la solución ofrecida no fue completamente clara. Aun así, gracias por intentarlo.","neutro","baja","otro"
"Situación con entrega reciente","Recibí mi compra con algo de retraso, aunque entiendo que son fechas complicadas. Me gustaría saber si esto es algo frecuente o solo ocurrió esta vez.","neutro","media","otro"
"Mensaje recibido sobre seguridad","Recibí un correo advirtiéndome sobre un posible problema de seguridad en mi cuenta. No estoy seguro si es real o un intento de fraude.","neutro","alta","spam"
"Opinión sobre producto nuevo","He probado vuestro producto y aunque no estoy totalmente convencido, tampoco puedo decir que sea malo. Quizás esperaba algo más.","neutro","baja","otro"
"Interés por promociones recibidas","Me enviaron promociones interesantes recientemente, pero la información no es clara sobre cómo aplicarlas a mis próximas compras.","neutro","media","comercial"
"Duda sobre cargos menores en factura","He notado un pequeño cargo adicional en mi factura, aunque es muy poco dinero. ¿Podrían aclararme rápidamente de qué se trata?","neutro","baja","solicitud"
"Mi experiencia con el nuevo sistema","Hola, probé el nuevo sistema de gestión. Funciona bien en general, aunque me costó un poco entenderlo al principio. Supongo que con el tiempo me acostumbraré.","neutro","media","otro"
"Factura recibida con diferencias","Recibí la factura de este mes y he notado que los valores no coinciden exactamente con lo que esperaba. No estoy seguro si es un error o hay algún cambio reciente que desconozco.","neutro","media","solicitud"
"Comentario sobre soporte recibido","El soporte fue rápido, pero me derivaron a tres personas distintas antes de resolver el problema. Agradezco la ayuda, aunque fue un poco frustrante el proceso.","neutro","media","queja"
"Dudas sobre la nueva política","Acabo de leer el correo sobre los nuevos términos del servicio. Me deja algunas dudas, especialmente en lo relacionado con la cancelación anticipada. ¿Podrían aclararme?","neutro","media","solicitud"
"Recomendación de producto","Me recomendaron vuestro producto y estoy evaluando si vale la pena cambiarme desde el que uso actualmente. ¿Tienen alguna guía comparativa?","neutro","baja","comercial"
"Entrega parcial del pedido","Recibí parte de mi pedido esta mañana. El resto no ha llegado aún, pero quizás viene en otro paquete. ¿Me lo pueden confirmar?","neutro","media","solicitud"
"Acceso limitado a funciones premium","Al intentar usar algunas funciones premium me sale un aviso de restricción. No sé si es un fallo o si cambiaron las condiciones de acceso. Agradezco su aclaración.","neutro","media","queja"
"Recordatorio sobre vencimiento","Vi que mi suscripción vence pronto. Aún estoy decidiendo si renovar o no, ya que últimamente no la he aprovechado mucho.","neutro","baja","otro"
"Funcionamiento general del servicio","El servicio está funcionando, aunque algo más lento que de costumbre. No sé si es un problema puntual o algo generalizado.","neutro","media","otro"
